Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
4;1001544;Поступление зарплаты на счет;Ремонт;1;0.59;мужской;0;0;4;специалист;>250;0;27;31;Другое;ООО;холост / не замужем;1;0;0;0;0;0;1;3;0;0;0.4285714286;3;4;81;7;2;1;4;56;0;0;0;0;0;0;0
4;1001564;Поступление зарплаты на счет;Отпуск;1;0.37;мужской;0;0;2;вспомогательный персонал;< 50;1;51;32;Другое;ЗАО;холост / не замужем;1;0;0;0;0;0;0;0;0;0;1;1;0;17;1;1;0;16;16;0;0;0;0;0;0;0
4;1001584;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.5;мужской;1;0;4;специалист;>250;0;11;48;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001604;2НДФЛ;Ремонт;1;0.49;мужской;0;0;2;рабочий;>250;0;64;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001624;Поступление зарплаты на счет;Покупка бытовой техники;1;0.38;мужской;0;0;2;вспомогательный персонал;>250;0;27;28;Другое;ЗАО;холост / не замужем;3;2;2;1;1;0.08;0;0;0;0;0.5;3;3;138;6;1;0;10;80;1;0;0;0;0;0;0
4;1001644;Поступление зарплаты на счет;Ремонт;1;0.53;мужской;0;0;4;специалист;>250;1;30;31;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001664;Форма банка (без печати работодателя);Ремонт;1;0.16;мужской;0;0;4;специалист;>250;0;9;53;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001684;Поступление зарплаты на счет;Ремонт;1;0.44;мужской;0;0;3;специалист;>250;0;8;24;Торговля;ЗАО;холост / не замужем;5;5;2;2;2;0;0;1;1;1;0.1666666667;1;5;47;6;1;0;1;48;0;0;0;0;0;0;0
4;1001704;Свободная форма с печатью работодателя;Ремонт;1;0.36;женский;0;0;4;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001724;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.47;мужской;0;0;4;рабочий;>250;1;122;51;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
